HostID,CloudRegion,MemoryUtilization_Pct,NetworkThroughput_GB,HourlyCost_USD
HOST-00469,AWS_us-east-1,18.9,163.4,0.52
HOST-00470,Azure_westeurope,38.5,6.97,0.45
HOST-00471,AWS_ap-northeast-1,41.4,24.99,0.64
HOST-00472,AWS_us-east-1,32.8,51.64,0.52
HOST-00473,Azure_westeurope,76.9,133.82,0.45
HOST-00474,AWS_ap-northeast-1,25.3,35.75,0.64
HOST-00475,AWS_us-east-1,62.7,77.4,0.52
HOST-00476,Azure_westeurope,90.4,19.78,0.45
HOST-00477,AWS_ap-northeast-1,55.2,156.41,0.64
HOST-00478,AWS_us-east-1,84.8,9.5,0.52
HOST-00479,Azure_westeurope,87.8,5.45,0.45
HOST-00480,AWS_ap-northeast-1,17.3,68.44,0.64
HOST-00481,AWS_us-east-1,21.1,84.33,0.52
HOST-00482,Azure_westeurope,60.9,89.16,0.45
HOST-00483,AWS_ap-northeast-1,49.7,23.02,0.64
HOST-00484,AWS_us-east-1,14.8,26.15,0.52
HOST-00485,Azure_westeurope,15.3,23.54,0.45
HOST-00486,AWS_ap-northeast-1,27.8,18.43,0.64
HOST-00487,AWS_us-east-1,70.4,136.2,0.52
HOST-00488,Azure_westeurope,48.7,122.76,0.45
HOST-00489,AWS_ap-northeast-1,78.5,15.57,0.64
HOST-00490,AWS_us-east-1,74.8,92.74,0.52
HOST-00491,Azure_westeurope,91.0,28.86,0.45
HOST-00492,AWS_ap-northeast-1,39.9,36.67,0.64
HOST-00493,AWS_us-east-1,44.4,37.97,0.52
HOST-00494,Azure_westeurope,71.6,16.44,0.45
HOST-00495,AWS_ap-northeast-1,39.8,13.78,0.64
HOST-00496,AWS_us-east-1,63.4,126.01,0.52
HOST-00497,Azure_westeurope,90.8,38.37,0.45
HOST-00498,AWS_ap-northeast-1,14.8,23.55,0.64
HOST-00499,AWS_us-east-1,38.9,61.6,0.52
HOST-00500,Azure_westeurope,93.6,39.5,0.45
HOST-00501,AWS_ap-northeast-1,78.2,68.58,0.64
HOST-00502,AWS_us-east-1,67.3,31.65,0.52
HOST-00503,Azure_westeurope,70.3,38.65,0.45
HOST-00504,AWS_ap-northeast-1,71.3,92.72,0.64
HOST-00505,AWS_us-east-1,87.7,15.69,0.52
HOST-00506,Azure_westeurope,11.4,16.17,0.45
HOST-00507,AWS_ap-northeast-1,47.1,22.04,0.64
HOST-00508,AWS_us-east-1,28.3,18.19,0.52
HOST-00509,Azure_westeurope,61.3,94.63,0.45
HOST-00510,AWS_ap-northeast-1,65.8,40.33,0.64
HOST-00511,AWS_us-east-1,85.6,39.33,0.52
HOST-00512,Azure_westeurope,79.4,18.88,0.45
HOST-00513,AWS_ap-northeast-1,26.2,16.61,0.64
HOST-00514,AWS_us-east-1,30.6,74.85,0.52
HOST-00515,Azure_westeurope,45.1,15.29,0.45
HOST-00516,AWS_ap-northeast-1,91.7,30.3,0.64
HOST-00517,AWS_us-east-1,16.2,12.52,0.52
HOST-00518,Azure_westeurope,44.0,32.78,0.45
HOST-00519,AWS_ap-northeast-1,85.0,34.97,0.64
HOST-00520,AWS_us-east-1,64.1,251.53,0.52
HOST-00521,Azure_westeurope,89.7,11.71,0.45
HOST-00522,AWS_ap-northeast-1,53.9,29.16,0.64
HOST-00523,AWS_us-east-1,89.2,14.68,0.52
HOST-00524,Azure_westeurope,27.2,26.33,0.45
HOST-00525,AWS_ap-northeast-1,13.0,10.63,0.64
HOST-00526,AWS_us-east-1,74.8,124.03,0.52
HOST-00527,Azure_westeurope,59.4,16.81,0.45
HOST-00528,AWS_ap-northeast-1,52.6,74.91,0.64
HOST-00529,AWS_us-east-1,73.1,71.01,0.52
HOST-00530,Azure_westeurope,62.5,80.14,0.45
HOST-00531,AWS_ap-northeast-1,45.3,21.64,0.64
HOST-00532,AWS_us-east-1,34.0,14.12,0.52
HOST-00533,Azure_westeurope,17.2,70.03,0.45
HOST-00534,AWS_ap-northeast-1,45.7,7.66,0.64
HOST-00535,AWS_us-east-1,50.4,91.49,0.52
HOST-00536,Azure_westeurope,39.5,23.71,0.45
HOST-00537,AWS_ap-northeast-1,58.2,31.64,0.64
HOST-00538,AWS_us-east-1,72.5,43.61,0.52
HOST-00539,Azure_westeurope,79.2,149.26,0.45
HOST-00540,AWS_ap-northeast-1,66.7,40.53,0.64
HOST-00541,AWS_us-east-1,81.9,75.33,0.52
HOST-00542,Azure_westeurope,47.7,77.34,0.45
HOST-00543,AWS_ap-northeast-1,89.5,46.65,0.64
HOST-00544,AWS_us-east-1,58.7,58.2,0.52
HOST-00545,Azure_westeurope,28.8,35.71,0.45
HOST-00546,AWS_ap-northeast-1,94.9,29.21,0.64
HOST-00547,AWS_us-east-1,55.3,38.89,0.52
HOST-00548,Azure_westeurope,19.2,35.61,0.45
HOST-00549,AWS_ap-northeast-1,21.6,32.87,0.64
HOST-00550,AWS_us-east-1,70.3,58.8,0.52
HOST-00551,Azure_westeurope,38.4,42.41,0.45
HOST-00552,AWS_ap-northeast-1,43.2,5.83,0.64
HOST-00553,AWS_us-east-1,72.1,38.98,0.52
HOST-00554,Azure_westeurope,87.4,47.41,0.45
HOST-00555,AWS_ap-northeast-1,69.4,63.9,0.64
HOST-00556,AWS_us-east-1,79.4,101.17,0.52
HOST-00557,Azure_westeurope,92.9,5.7,0.45
HOST-00558,AWS_ap-northeast-1,29.5,286.09,0.64
HOST-00559,AWS_us-east-1,55.1,12.77,0.52
HOST-00560,Azure_westeurope,68.1,24.26,0.45
HOST-00561,AWS_ap-northeast-1,14.2,21.27,0.64
HOST-00562,AWS_us-east-1,91.8,10.61,0.52
HOST-00563,Azure_westeurope,65.7,33.9,0.45
HOST-00564,AWS_ap-northeast-1,83.8,21.92,0.64
HOST-00565,AWS_us-east-1,14.5,29.96,0.52
HOST-00566,Azure_westeurope,65.6,17.8,0.45
HOST-00567,AWS_ap-northeast-1,57.5,12.85,0.64
HOST-00568,AWS_us-east-1,90.4,205.6,0.52
HOST-00569,Azure_westeurope,58.2,42.12,0.45
HOST-00570,AWS_ap-northeast-1,20.5,14.34,0.64
HOST-00571,AWS_us-east-1,58.4,60.57,0.52
HOST-00572,Azure_westeurope,21.3,32.7,0.45
HOST-00573,AWS_ap-northeast-1,67.6,8.21,0.64
HOST-00574,AWS_us-east-1,75.3,99.15,0.52
HOST-00575,Azure_westeurope,40.7,20.07,0.45
HOST-00576,AWS_ap-northeast-1,41.8,16.2,0.64
HOST-00577,AWS_us-east-1,51.1,64.84,0.52
HOST-00578,Azure_westeurope,43.1,47.13,0.45
HOST-00579,AWS_ap-northeast-1,34.1,74.22,0.64
HOST-00580,AWS_us-east-1,52.2,125.9,0.52
HOST-00581,Azure_westeurope,36.1,5.16,0.45
HOST-00582,AWS_ap-northeast-1,46.5,24.96,0.64
HOST-00583,AWS_us-east-1,76.4,46.14,0.52
HOST-00584,Azure_westeurope,39.0,171.14,0.45
HOST-00585,AWS_ap-northeast-1,74.7,95.61,0.64
HOST-00586,AWS_us-east-1,54.4,23.1,0.52
HOST-00587,Azure_westeurope,32.5,29.24,0.45
HOST-00588,AWS_ap-northeast-1,82.3,12.78,0.64
HOST-00589,AWS_us-east-1,61.8,30.67,0.52
HOST-00590,Azure_westeurope,69.0,33.96,0.45
HOST-00591,AWS_ap-northeast-1,48.6,32.15,0.64
HOST-00592,AWS_us-east-1,33.4,135.28,0.52
HOST-00593,Azure_westeurope,42.1,129.09,0.45
HOST-00594,AWS_ap-northeast-1,17.5,25.7,0.64
HOST-00595,AWS_us-east-1,81.6,14.22,0.52
HOST-00596,Azure_westeurope,60.6,22.13,0.45
HOST-00597,AWS_ap-northeast-1,22.1,37.7,0.64
HOST-00598,AWS_us-east-1,79.8,229.91,0.52
HOST-00599,Azure_westeurope,41.9,44.83,0.45
HOST-00600,AWS_ap-northeast-1,84.9,33.24,0.64
HOST-00601,AWS_us-east-1,40.7,39.14,0.52
HOST-00602,Azure_westeurope,88.7,52.38,0.45
HOST-00603,AWS_ap-northeast-1,30.1,13.17,0.64
HOST-00604,AWS_us-east-1,10.0,103.8,0.52
HOST-00605,Azure_westeurope,54.4,15.97,0.45
HOST-00606,AWS_ap-northeast-1,80.9,16.56,0.64
HOST-00607,AWS_us-east-1,28.3,50.88,0.52
HOST-00608,Azure_westeurope,41.9,5.18,0.45
HOST-00609,AWS_ap-northeast-1,20.4,168.04,0.64
HOST-00610,AWS_us-east-1,19.3,12.23,0.52
HOST-00611,Azure_westeurope,29.1,137.31,0.45
HOST-00612,AWS_ap-northeast-1,10.7,31.56,0.64
HOST-00613,AWS_us-east-1,13.9,15.42,0.52
HOST-00614,Azure_westeurope,62.5,57.49,0.45
HOST-00615,AWS_ap-northeast-1,62.7,44.12,0.64
HOST-00616,AWS_us-east-1,74.5,37.99,0.52
HOST-00617,Azure_westeurope,21.4,125.23,0.45
HOST-00618,AWS_ap-northeast-1,78.8,5.09,0.64
HOST-00619,AWS_us-east-1,26.6,67.32,0.52
HOST-00620,Azure_westeurope,68.6,24.64,0.45
HOST-00621,AWS_ap-northeast-1,92.7,61.32,0.64
HOST-00622,AWS_us-east-1,76.6,17.47,0.52
HOST-00623,Azure_westeurope,47.0,201.9,0.45
HOST-00624,AWS_ap-northeast-1,43.6,96.42,0.64
HOST-00625,AWS_us-east-1,66.2,54.4,0.52
HOST-00626,Azure_westeurope,53.0,65.66,0.45
HOST-00627,AWS_ap-northeast-1,81.6,36.98,0.64
HOST-00628,AWS_us-east-1,85.8,58.04,0.52
HOST-00629,Azure_westeurope,57.0,5.33,0.45
HOST-00630,AWS_ap-northeast-1,83.7,108.33,0.64
HOST-00631,AWS_us-east-1,24.0,53.92,0.52
HOST-00632,Azure_westeurope,23.3,53.69,0.45
HOST-00633,AWS_ap-northeast-1,11.3,58.45,0.64
HOST-00634,AWS_us-east-1,44.1,27.92,0.52
HOST-00635,Azure_westeurope,42.5,6.56,0.45
HOST-00636,AWS_ap-northeast-1,60.9,67.05,0.64
HOST-00637,AWS_us-east-1,42.5,6.69,0.52
HOST-00638,Azure_westeurope,80.7,35.37,0.45
HOST-00639,AWS_ap-northeast-1,23.6,18.22,0.64
HOST-00640,AWS_us-east-1,90.7,6.68,0.52
HOST-00641,Azure_westeurope,40.0,129.13,0.45
HOST-00642,AWS_ap-northeast-1,28.8,38.26,0.64
HOST-00643,AWS_us-east-1,79.5,78.2,0.52
HOST-00644,Azure_westeurope,49.8,59.9,0.45
HOST-00645,AWS_ap-northeast-1,71.9,11.2,0.64
HOST-00646,AWS_us-east-1,43.4,105.05,0.52
HOST-00647,Azure_westeurope,73.8,24.96,0.45
HOST-00648,AWS_ap-northeast-1,43.6,28.3,0.64
HOST-00649,AWS_us-east-1,63.7,65.6,0.52
HOST-00650,Azure_westeurope,51.1,69.76,0.45
HOST-00651,AWS_ap-northeast-1,42.6,13.92,0.64
HOST-00652,AWS_us-east-1,86.5,54.8,0.52
HOST-00653,Azure_westeurope,85.3,35.35,0.45
HOST-00654,AWS_ap-northeast-1,88.5,68.47,0.64
HOST-00655,AWS_us-east-1,54.4,13.21,0.52
HOST-00656,Azure_westeurope,72.0,138.9,0.45
HOST-00657,AWS_ap-northeast-1,45.0,62.04,0.64
HOST-00658,AWS_us-east-1,23.5,14.48,0.52
HOST-00659,Azure_westeurope,40.3,5.73,0.45
HOST-00660,AWS_ap-northeast-1,39.1,189.17,0.64
HOST-00661,AWS_us-east-1,61.0,30.34,0.52
HOST-00662,Azure_westeurope,84.4,41.04,0.45
HOST-00663,AWS_ap-northeast-1,93.2,21.14,0.64
HOST-00664,AWS_us-east-1,28.1,103.14,0.52
HOST-00665,Azure_westeurope,70.3,73.49,0.45
HOST-00666,AWS_ap-northeast-1,23.3,68.16,0.64
HOST-00667,AWS_us-east-1,26.5,100.66,0.52
HOST-00668,Azure_westeurope,91.6,56.39,0.45
HOST-00669,AWS_ap-northeast-1,14.8,29.8,0.64
HOST-00670,AWS_us-east-1,22.5,94.37,0.52
HOST-00671,Azure_westeurope,64.7,10.74,0.45
HOST-00672,AWS_ap-northeast-1,18.7,49.01,0.64
HOST-00673,AWS_us-east-1,84.8,10.75,0.52
HOST-00674,Azure_westeurope,62.3,22.8,0.45
HOST-00675,AWS_ap-northeast-1,53.9,90.11,0.64
HOST-00676,AWS_us-east-1,45.2,24.88,0.52
HOST-00677,Azure_westeurope,63.6,31.15,0.45
HOST-00678,AWS_ap-northeast-1,64.2,59.76,0.64
HOST-00679,AWS_us-east-1,53.2,5.81,0.52
HOST-00680,Azure_westeurope,87.8,52.81,0.45
HOST-00681,AWS_ap-northeast-1,36.5,14.63,0.64
HOST-00682,AWS_us-east-1,51.7,20.02,0.52
HOST-00683,Azure_westeurope,38.7,83.19,0.45
HOST-00684,AWS_ap-northeast-1,20.0,71.17,0.64
HOST-00685,AWS_us-east-1,43.6,7.42,0.52
HOST-00686,Azure_westeurope,45.4,101.02,0.45
HOST-00687,AWS_ap-northeast-1,35.1,30.26,0.64
HOST-00688,AWS_us-east-1,44.7,35.76,0.52
HOST-00689,Azure_westeurope,30.4,20.37,0.45
HOST-00690,AWS_ap-northeast-1,50.4,32.8,0.64
HOST-00691,AWS_us-east-1,18.0,17.12,0.52
HOST-00692,Azure_westeurope,65.2,9.28,0.45
HOST-00693,AWS_ap-northeast-1,42.8,81.34,0.64
HOST-00694,AWS_us-east-1,19.9,64.8,0.52
HOST-00695,Azure_westeurope,67.3,7.17,0.45
HOST-00696,AWS_ap-northeast-1,15.8,22.02,0.64
HOST-00697,AWS_us-east-1,25.6,116.71,0.52
HOST-00698,Azure_westeurope,20.9,103.4,0.45
HOST-00699,AWS_ap-northeast-1,25.3,51.53,0.64
HOST-00700,AWS_us-east-1,32.3,20.72,0.52
HOST-00701,Azure_westeurope,20.8,70.18,0.45
HOST-00702,AWS_ap-northeast-1,75.8,86.38,0.64
HOST-00703,AWS_us-east-1,18.0,27.48,0.52
HOST-00704,Azure_westeurope,92.5,18.93,0.45
HOST-00705,AWS_ap-northeast-1,51.0,46.07,0.64
HOST-00706,AWS_us-east-1,41.5,158.19,0.52
HOST-00707,Azure_westeurope,84.0,42.77,0.45
HOST-00708,AWS_ap-northeast-1,38.5,24.71,0.64
HOST-00709,AWS_us-east-1,56.9,59.38,0.52
HOST-00710,Azure_westeurope,55.2,100.38,0.45
HOST-00711,AWS_ap-northeast-1,79.3,10.86,0.64
HOST-00712,AWS_us-east-1,31.8,104.78,0.52
HOST-00713,Azure_westeurope,87.7,19.64,0.45
HOST-00714,AWS_ap-northeast-1,21.7,114.43,0.64
HOST-00715,AWS_us-east-1,37.4,30.18,0.52
HOST-00716,Azure_westeurope,58.6,107.85,0.45
HOST-00717,AWS_ap-northeast-1,48.8,68.51,0.64
HOST-00718,AWS_us-east-1,48.9,33.25,0.52
HOST-00719,Azure_westeurope,14.8,38.5,0.45
HOST-00720,AWS_ap-northeast-1,56.0,59.71,0.64
HOST-00721,AWS_us-east-1,44.0,8.62,0.52
HOST-00722,Azure_westeurope,78.1,28.62,0.45
HOST-00723,AWS_ap-northeast-1,62.2,82.38,0.64
HOST-00724,AWS_us-east-1,74.2,35.62,0.52
HOST-00725,Azure_westeurope,49.9,6.11,0.45
HOST-00726,AWS_ap-northeast-1,54.9,13.43,0.64
HOST-00727,AWS_us-east-1,40.2,14.6,0.52
HOST-00728,Azure_westeurope,82.9,50.29,0.45
HOST-00729,AWS_ap-northeast-1,85.1,43.57,0.64
HOST-00730,AWS_us-east-1,71.1,35.58,0.52
HOST-00731,Azure_westeurope,28.2,9.36,0.45
HOST-00732,AWS_ap-northeast-1,37.4,12.22,0.64
HOST-00733,AWS_us-east-1,59.3,9.12,0.52
HOST-00734,Azure_westeurope,74.1,15.3,0.45
HOST-00735,AWS_ap-northeast-1,66.8,24.43,0.64
HOST-00736,AWS_us-east-1,63.3,32.98,0.52
HOST-00737,Azure_westeurope,53.4,27.34,0.45
HOST-00738,AWS_ap-northeast-1,58.7,116.77,0.64
HOST-00739,AWS_us-east-1,64.4,86.91,0.52
HOST-00740,Azure_westeurope,18.1,9.12,0.45
HOST-00741,AWS_ap-northeast-1,42.8,65.46,0.64
HOST-00742,AWS_us-east-1,78.8,115.46,0.52
HOST-00743,Azure_westeurope,84.6,23.05,0.45
HOST-00744,AWS_ap-northeast-1,90.5,22.55,0.64
HOST-00745,AWS_us-east-1,40.0,17.83,0.52
HOST-00746,Azure_westeurope,48.0,42.95,0.45
HOST-00747,AWS_ap-northeast-1,15.7,124.4,0.64
HOST-00748,AWS_us-east-1,86.2,46.03,0.52
HOST-00749,Azure_westeurope,87.0,31.8,0.45
HOST-00750,AWS_ap-northeast-1,24.1,141.37,0.64
HOST-00751,AWS_us-east-1,26.6,17.57,0.52
HOST-00752,Azure_westeurope,15.7,145.04,0.45
HOST-00753,AWS_ap-northeast-1,41.6,35.86,0.64
HOST-00754,AWS_us-east-1,93.0,25.13,0.52
HOST-00755,Azure_westeurope,14.3,101.18,0.45
HOST-00756,AWS_ap-northeast-1,88.5,52.66,0.64
HOST-00757,AWS_us-east-1,84.5,44.96,0.52
HOST-00758,Azure_westeurope,36.1,19.86,0.45
HOST-00759,AWS_ap-northeast-1,91.1,69.21,0.64
HOST-00760,AWS_us-east-1,58.5,58.2,0.52
HOST-00761,Azure_westeurope,53.7,6.34,0.45
HOST-00762,AWS_ap-northeast-1,55.6,54.89,0.64
HOST-00763,AWS_us-east-1,74.9,112.46,0.52
HOST-00764,Azure_westeurope,88.0,146.18,0.45
HOST-00765,AWS_ap-northeast-1,67.7,91.6,0.64
HOST-00766,AWS_us-east-1,15.2,64.74,0.52
HOST-00767,Azure_westeurope,56.1,31.21,0.45
HOST-00768,AWS_ap-northeast-1,19.0,33.47,0.64
HOST-00769,AWS_us-east-1,60.4,27.39,0.52
HOST-00770,Azure_westeurope,39.7,118.7,0.45
HOST-00771,AWS_ap-northeast-1,47.2,84.62,0.64
HOST-00772,AWS_us-east-1,68.0,98.59,0.52
HOST-00773,Azure_westeurope,35.4,76.01,0.45
HOST-00774,AWS_ap-northeast-1,36.4,38.61,0.64
HOST-00775,AWS_us-east-1,77.9,9.36,0.52
HOST-00776,Azure_westeurope,76.9,74.81,0.45
HOST-00777,AWS_ap-northeast-1,42.5,26.72,0.64
HOST-00778,AWS_us-east-1,57.2,39.45,0.52
HOST-00779,Azure_westeurope,48.7,10.39,0.45
HOST-00780,AWS_ap-northeast-1,77.4,71.21,0.64
HOST-00781,AWS_us-east-1,63.4,66.8,0.52
HOST-00782,Azure_westeurope,58.6,151.21,0.45
HOST-00783,AWS_ap-northeast-1,84.1,59.51,0.64
HOST-00784,AWS_us-east-1,31.2,23.0,0.52
HOST-00785,Azure_westeurope,83.1,42.75,0.45
HOST-00786,AWS_ap-northeast-1,14.8,42.28,0.64
HOST-00787,AWS_us-east-1,28.7,9.03,0.52
HOST-00788,Azure_westeurope,20.2,30.97,0.45
HOST-00789,AWS_ap-northeast-1,19.8,33.01,0.64
HOST-00790,AWS_us-east-1,21.0,74.7,0.52
HOST-00791,Azure_westeurope,49.4,15.3,0.45
HOST-00792,AWS_ap-northeast-1,74.7,53.79,0.64
HOST-00793,AWS_us-east-1,70.5,198.55,0.52
HOST-00794,Azure_westeurope,76.9,6.2,0.45
HOST-00795,AWS_ap-northeast-1,59.5,52.58,0.64
HOST-00796,AWS_us-east-1,57.2,51.03,0.52
HOST-00797,Azure_westeurope,76.0,80.95,0.45
HOST-00798,AWS_ap-northeast-1,68.1,6.61,0.64
HOST-00799,AWS_us-east-1,58.0,17.82,0.52
HOST-00800,Azure_westeurope,69.1,95.82,0.45
HOST-00801,AWS_ap-northeast-1,66.7,17.33,0.64
HOST-00802,AWS_us-east-1,43.7,50.66,0.52
HOST-00803,Azure_westeurope,73.3,99.7,0.45
HOST-00804,AWS_ap-northeast-1,56.0,110.69,0.64
HOST-00805,AWS_us-east-1,54.0,13.72,0.52
HOST-00806,Azure_westeurope,49.9,111.9,0.45
HOST-00807,AWS_ap-northeast-1,56.8,47.32,0.64
HOST-00808,AWS_us-east-1,89.9,24.13,0.52
HOST-00809,Azure_westeurope,69.2,37.15,0.45
HOST-00810,AWS_ap-northeast-1,66.3,103.11,0.64
HOST-00811,AWS_us-east-1,72.9,39.8,0.52
HOST-00812,Azure_westeurope,72.0,13.16,0.45
HOST-00813,AWS_ap-northeast-1,32.1,61.66,0.64
HOST-00814,AWS_us-east-1,37.5,37.1,0.52
HOST-00815,Azure_westeurope,73.6,13.65,0.45
HOST-00816,AWS_ap-northeast-1,14.2,19.19,0.64
HOST-00817,AWS_us-east-1,30.2,91.01,0.52
HOST-00818,Azure_westeurope,89.3,8.28,0.45
HOST-00819,AWS_ap-northeast-1,60.6,32.8,0.64
HOST-00820,AWS_us-east-1,42.6,136.23,0.52
HOST-00821,Azure_westeurope,19.0,21.48,0.45
HOST-00822,AWS_ap-northeast-1,32.0,18.73,0.64
HOST-00823,AWS_us-east-1,35.7,92.39,0.52
HOST-00824,Azure_westeurope,92.9,63.54,0.45
HOST-00825,AWS_ap-northeast-1,88.1,53.28,0.64
HOST-00826,AWS_us-east-1,56.8,120.73,0.52
HOST-00827,Azure_westeurope,54.7,123.22,0.45
HOST-00828,AWS_ap-northeast-1,21.8,11.66,0.64
HOST-00829,AWS_us-east-1,44.5,14.17,0.52
HOST-00830,Azure_westeurope,72.7,9.12,0.45
HOST-00831,AWS_ap-northeast-1,16.5,69.29,0.64
HOST-00832,AWS_us-east-1,24.6,237.65,0.52
HOST-00833,Azure_westeurope,56.0,20.98,0.45
HOST-00834,AWS_ap-northeast-1,60.7,46.11,0.64
HOST-00835,AWS_us-east-1,83.8,33.36,0.52
HOST-00836,Azure_westeurope,32.3,47.35,0.45
HOST-00837,AWS_ap-northeast-1,94.7,63.3,0.64
HOST-00838,AWS_us-east-1,56.3,46.91,0.52
HOST-00839,Azure_westeurope,40.9,18.28,0.45
HOST-00840,AWS_ap-northeast-1,12.4,21.25,0.64
HOST-00841,AWS_us-east-1,16.6,94.49,0.52
HOST-00842,Azure_westeurope,63.6,144.44,0.45
HOST-00843,AWS_ap-northeast-1,80.8,37.62,0.64
HOST-00844,AWS_us-east-1,44.0,18.22,0.52
HOST-00845,Azure_westeurope,64.6,72.06,0.45
HOST-00846,AWS_ap-northeast-1,51.9,41.63,0.64
HOST-00847,AWS_us-east-1,40.2,28.52,0.52
HOST-00848,Azure_westeurope,85.4,64.97,0.45
HOST-00849,AWS_ap-northeast-1,14.7,85.23,0.64
HOST-00850,AWS_us-east-1,45.6,53.07,0.52
HOST-00851,Azure_westeurope,50.2,41.72,0.45
HOST-00852,AWS_ap-northeast-1,92.9,54.96,0.64
HOST-00853,AWS_us-east-1,85.8,73.25,0.52
HOST-00854,Azure_westeurope,49.7,8.09,0.45
HOST-00855,AWS_ap-northeast-1,35.5,17.23,0.64
HOST-00856,AWS_us-east-1,18.2,90.73,0.52
HOST-00857,Azure_westeurope,28.5,114.21,0.45
HOST-00858,AWS_ap-northeast-1,14.7,110.52,0.64
HOST-00859,AWS_us-east-1,49.0,59.71,0.52
HOST-00860,Azure_westeurope,14.5,21.45,0.45
HOST-00861,AWS_ap-northeast-1,72.1,126.82,0.64
HOST-00862,AWS_us-east-1,14.9,52.12,0.52
HOST-00863,Azure_westeurope,72.3,14.1,0.45
HOST-00864,AWS_ap-northeast-1,67.6,41.9,0.64
HOST-00865,AWS_us-east-1,38.2,74.67,0.52
HOST-00866,Azure_westeurope,68.3,34.02,0.45
HOST-00867,AWS_ap-northeast-1,50.7,41.39,0.64
HOST-00868,AWS_us-east-1,91.7,27.34,0.52
HOST-00869,Azure_westeurope,23.6,78.79,0.45
HOST-00870,AWS_ap-northeast-1,52.2,21.31,0.64
HOST-00871,AWS_us-east-1,46.2,164.16,0.52
HOST-00872,Azure_westeurope,61.7,137.85,0.45
HOST-00873,AWS_ap-northeast-1,86.1,8.52,0.64
HOST-00874,AWS_us-east-1,32.4,13.02,0.52
HOST-00875,Azure_westeurope,15.5,11.88,0.45
HOST-00876,AWS_ap-northeast-1,57.2,100.71,0.64
HOST-00877,AWS_us-east-1,68.9,85.16,0.52
HOST-00878,Azure_westeurope,61.3,16.59,0.45
HOST-00879,AWS_ap-northeast-1,68.3,55.55,0.64
HOST-00880,AWS_us-east-1,15.5,6.69,0.52
HOST-00881,Azure_westeurope,50.9,23.32,0.45
HOST-00882,AWS_ap-northeast-1,32.0,194.52,0.64
HOST-00883,AWS_us-east-1,62.6,25.12,0.52
HOST-00884,Azure_westeurope,91.1,18.86,0.45
HOST-00885,AWS_ap-northeast-1,38.0,85.58,0.64
HOST-00886,AWS_us-east-1,32.7,34.54,0.52
HOST-00887,Azure_westeurope,15.8,20.78,0.45
HOST-00888,AWS_ap-northeast-1,31.8,33.26,0.64
HOST-00889,AWS_us-east-1,81.9,161.41,0.52
HOST-00890,Azure_westeurope,79.7,20.74,0.45
HOST-00891,AWS_ap-northeast-1,20.7,71.95,0.64
HOST-00892,AWS_us-east-1,47.1,57.03,0.52
HOST-00893,Azure_westeurope,72.7,53.67,0.45
HOST-00894,AWS_ap-northeast-1,73.0,6.61,0.64
HOST-00895,AWS_us-east-1,92.2,19.9,0.52
HOST-00896,Azure_westeurope,61.2,46.87,0.45
HOST-00897,AWS_ap-northeast-1,57.7,27.99,0.64
HOST-00898,AWS_us-east-1,53.6,7.13,0.52
HOST-00899,Azure_westeurope,53.6,316.18,0.45
HOST-00900,AWS_ap-northeast-1,86.1,53.21,0.64
HOST-00901,AWS_us-east-1,39.7,110.57,0.52
HOST-00902,Azure_westeurope,32.6,13.72,0.45
HOST-00903,AWS_ap-northeast-1,14.1,141.87,0.64
HOST-00904,AWS_us-east-1,37.0,5.99,0.52
HOST-00905,Azure_westeurope,79.4,249.45,0.45
HOST-00906,AWS_ap-northeast-1,21.6,25.39,0.64
HOST-00907,AWS_us-east-1,83.7,333.68,0.52
HOST-00908,Azure_westeurope,42.6,66.02,0.45
HOST-00909,AWS_ap-northeast-1,91.0,50.78,0.64
HOST-00910,AWS_us-east-1,73.2,75.54,0.52
HOST-00911,Azure_westeurope,68.5,43.0,0.45
HOST-00912,AWS_ap-northeast-1,46.5,76.43,0.64
HOST-00913,AWS_us-east-1,72.9,47.12,0.52
HOST-00914,Azure_westeurope,13.7,79.5,0.45
HOST-00915,AWS_ap-northeast-1,77.0,58.52,0.64
HOST-00916,AWS_us-east-1,92.4,10.68,0.52
HOST-00917,Azure_westeurope,51.5,132.48,0.45
HOST-00918,AWS_ap-northeast-1,58.5,65.34,0.64
HOST-00919,AWS_us-east-1,78.4,154.96,0.52
HOST-00920,Azure_westeurope,34.1,110.41,0.45
HOST-00921,AWS_ap-northeast-1,69.3,41.65,0.64
HOST-00922,AWS_us-east-1,79.9,43.08,0.52
HOST-00923,Azure_westeurope,33.2,6.16,0.45
HOST-00924,AWS_ap-northeast-1,66.3,76.99,0.64
HOST-00925,AWS_us-east-1,75.7,35.97,0.52
HOST-00926,Azure_westeurope,26.1,70.05,0.45
HOST-00927,AWS_ap-northeast-1,81.3,70.84,0.64
HOST-00928,AWS_us-east-1,80.8,6.85,0.52
HOST-00929,Azure_westeurope,27.4,42.7,0.45
HOST-00930,AWS_ap-northeast-1,50.9,34.53,0.64
HOST-00931,AWS_us-east-1,75.6,176.95,0.52
HOST-00932,Azure_westeurope,47.9,8.77,0.45
HOST-00933,AWS_ap-northeast-1,80.2,9.31,0.64
HOST-00934,AWS_us-east-1,38.4,9.33,0.52
HOST-00935,Azure_westeurope,81.8,17.47,0.45
HOST-00936,AWS_ap-northeast-1,39.6,9.26,0.64
HOST-00937,AWS_us-east-1,43.3,30.25,0.52
HOST-00938,Azure_westeurope,70.0,42.86,0.45
